datetime,close,high,low,open,volume
2026-04-09 09:27:00+00:00,23743.099609375,23751.599609375,23735.900390625,23736.900390625,0
2026-04-09 09:28:00+00:00,23735.25,23744.849609375,23733.099609375,23742.30078125,0
2026-04-09 09:29:00+00:00,23741.05078125,23742.69921875,23735.55078125,23735.55078125,0
2026-04-09 09:30:00+00:00,23735.599609375,23754.849609375,23726.900390625,23742.44921875,0
2026-04-09 09:31:00+00:00,23762.75,23765.0,23735.900390625,23735.900390625,0
2026-04-09 09:32:00+00:00,23782.400390625,23786.349609375,23762.849609375,23762.849609375,0
2026-04-09 09:33:00+00:00,23772.55078125,23806.80078125,23766.0,23781.650390625,0
2026-04-09 09:34:00+00:00,23741.599609375,23769.80078125,23740.94921875,23769.599609375,0
2026-04-09 09:35:00+00:00,23770.30078125,23770.5,23733.400390625,23744.19921875,0
2026-04-09 09:36:00+00:00,23774.75,23776.19921875,23751.900390625,23770.099609375,0
2026-04-09 09:37:00+00:00,23772.400390625,23777.94921875,23763.099609375,23775.900390625,0
2026-04-09 09:38:00+00:00,23781.30078125,23782.19921875,23770.5,23770.94921875,0
2026-04-09 09:39:00+00:00,23787.75,23800.599609375,23781.599609375,23781.599609375,0
2026-04-09 09:40:00+00:00,23783.150390625,23790.75,23778.80078125,23789.099609375,0
2026-04-09 09:41:00+00:00,23781.80078125,23790.25,23778.650390625,23783.900390625,0
2026-04-09 09:42:00+00:00,23799.900390625,23801.25,23782.05078125,23783.75,0
2026-04-09 09:43:00+00:00,23787.5,23799.69921875,23786.400390625,23798.099609375,0
2026-04-09 09:44:00+00:00,23793.349609375,23796.599609375,23785.30078125,23788.30078125,0
2026-04-09 09:45:00+00:00,23776.599609375,23794.349609375,23775.69921875,23792.94921875,0
2026-04-09 09:46:00+00:00,23780.349609375,23781.849609375,23775.099609375,23777.400390625,0
2026-04-09 09:47:00+00:00,23782.55078125,23785.150390625,23780.80078125,23781.0,0
2026-04-09 09:48:00+00:00,23783.80078125,23785.30078125,23778.150390625,23783.5,0
2026-04-09 09:49:00+00:00,23771.25,23786.55078125,23769.099609375,23785.400390625,0
2026-04-09 09:50:00+00:00,23772.80078125,23778.5,23770.55078125,23772.849609375,0
2026-04-09 09:51:00+00:00,23782.5,23784.099609375,23765.44921875,23775.400390625,0
2026-04-09 09:52:00+00:00,23781.5,23784.55078125,23779.75,23783.94921875,0
2026-04-09 09:53:00+00:00,23770.599609375,23783.55078125,23768.150390625,23782.5,0
2026-04-09 09:54:00+00:00,23781.400390625,23784.5,23770.75,23772.19921875,0
2026-04-09 09:55:00+00:00,23780.650390625,23783.5,23776.900390625,23782.19921875,0
2026-04-09 09:56:00+00:00,23787.69921875,23791.150390625,23781.55078125,23781.55078125,0
2026-04-09 09:57:00+00:00,23775.75,23789.099609375,23775.099609375,23788.05078125,0
2026-04-09 09:58:00+00:00,23768.349609375,23782.19921875,23767.099609375,23775.25,0
2026-04-09 09:59:00+00:00,23766.05078125,23771.25,23758.94921875,23768.30078125,0
2026-04-10 03:45:00+00:00,23895.5,23913.150390625,23867.19921875,23880.55078125,0
2026-04-10 03:46:00+00:00,23938.0,23947.400390625,23893.25,23893.25,0
2026-04-10 03:47:00+00:00,23942.30078125,23950.55078125,23935.80078125,23938.5,0
2026-04-10 03:48:00+00:00,23942.5,23955.400390625,23939.349609375,23943.349609375,0
2026-04-10 03:49:00+00:00,23965.69921875,23967.400390625,23942.05078125,23943.099609375,0
2026-04-10 03:50:00+00:00,23962.349609375,23978.19921875,23955.349609375,23966.25,0
2026-04-10 03:51:00+00:00,23953.69921875,23964.69921875,23953.349609375,23961.69921875,0
2026-04-10 03:52:00+00:00,23948.5,23956.44921875,23947.30078125,23954.75,0
2026-04-10 03:53:00+00:00,23941.05078125,23952.599609375,23940.0,23949.25,0
2026-04-10 03:54:00+00:00,23918.650390625,23942.599609375,23917.05078125,23940.55078125,0
