Datetime,Close,High,Low,Open,pdh,pdl,pdc,pp,r1,r2,s1,s2,bull_trigger,bear_trigger
2026-04-08 11:08:00,23990.44921875,23991.80078125,23985.69921875,23987.75,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:09:00,23990.0,23992.400390625,23988.849609375,23989.80078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:10:00,23997.44921875,23997.55078125,23990.30078125,23990.5,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:11:00,23999.599609375,24004.19921875,23996.099609375,23997.25,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:12:00,23996.30078125,24002.94921875,23996.30078125,23999.94921875,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:13:00,23991.349609375,23996.849609375,23983.5,23996.849609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:14:00,23991.75,23994.75,23987.5,23992.150390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:15:00,23999.599609375,23999.650390625,23991.599609375,23991.599609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:16:00,24012.25,24013.599609375,23999.80078125,23999.80078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:17:00,24000.25,24014.0,23999.25,24012.55078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:18:00,23995.44921875,24000.650390625,23994.349609375,24000.599609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:19:00,24001.05078125,24003.400390625,23991.099609375,23995.849609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:20:00,24009.150390625,24010.19921875,24000.5,24001.05078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:21:00,24008.5,24013.05078125,24008.25,24008.849609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:22:00,24000.30078125,24009.349609375,23999.55078125,24008.099609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:23:00,24011.650390625,24013.5,23998.75,24000.25,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:24:00,24002.099609375,24012.80078125,24001.099609375,24011.30078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:25:00,23990.69921875,24004.150390625,23990.69921875,24001.849609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
