Datetime,Close,High,Low,Open,Volume,ema10,ema20,dema100,green_hammer,red_hammer,inv_red_hammer,bull_engulf,bear_engulf,morning_star,evening_star,pdh,pdl,pdc,pp,r1,s1,r2,s2,r3,s3,r4,s4,r5,s5,bull_trigger,bear_trigger
2026-04-10 10:29:00,24009.099609375,24009.25,24002.5,24005.55078125,0,24013.460935389914,24006.245141444644,24008.747150365594,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:30:00,24019.19921875,24021.25,24008.900390625,24010.0,0,24014.5042596372,24007.478863092772,24010.644132365567,False,False,False,False,False,True,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:31:00,24013.69921875,24023.900390625,24013.25,24019.94921875,0,24014.357888566796,24008.07127791727,24012.25441968321,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:32:00,24010.0,24016.44921875,24004.150390625,24014.30078125,0,24013.565545191013,24008.254965734675,24013.65707802028,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:33:00,24001.44921875,24012.44921875,24001.0,24009.349609375,0,24011.36257674719,24007.60679935518,24014.668009649486,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:34:00,24019.849609375,24019.849609375,24001.150390625,24001.150390625,0,24012.905673588608,24008.772781261832,24016.355630665494,False,False,False,True,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:35:00,24017.0,24026.099609375,24016.150390625,24019.69921875,0,24013.650096572495,24009.556325903563,24017.866708573805,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:36:00,24018.19921875,24020.69921875,24014.69921875,24016.650390625,0,24014.477209695677,24010.379458555602,24019.365218057694,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:37:00,24008.5,24019.80078125,24007.099609375,24017.25,0,24013.390444296463,24010.20046250269,24020.42418678177,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:38:00,24006.400390625,24011.099609375,24005.69921875,24008.349609375,0,24012.119525447106,24009.838550895292,24021.35462614728,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:39:00,24007.05078125,24008.349609375,24003.55078125,24006.400390625,0,24011.197935593085,24009.573049024315,24022.268220454625,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:40:00,24015.55078125,24016.400390625,24006.650390625,24007.400390625,0,24011.98936207616,24010.142356855333,24023.473324664945,False,False,False,False,False,True,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:41:00,24010.30078125,24017.599609375,24006.5,24015.349609375,0,24011.682347380498,24010.15744489292,24024.422205773826,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:42:00,24012.349609375,24013.0,24009.400390625,24010.80078125,0,24011.803667743134,24010.366222462642,24025.40868056062,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:43:00,24008.0,24015.55078125,24007.650390625,24011.94921875,0,24011.112091789833,24010.14086794239,24026.18079695613,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:44:00,24003.849609375,24010.19921875,24003.80078125,24007.349609375,0,24009.79164044168,24009.541700459784,24026.75276375885,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
